,pdb,natoms,parKVFinder_01,parKVFinder_02,parKVFinder_04,parKVFinder_08,parKVFinder_12,parKVFinder_16,parKVFinder_20,parKVFinder_24,pyKVFinder_01,pyKVFinder_02,pyKVFinder_04,pyKVFinder_08,pyKVFinder_12,pyKVFinder_16,pyKVFinder_20,pyKVFinder_24,pyKVFinder-depth_01,pyKVFinder-depth_02,pyKVFinder-depth_04,pyKVFinder-depth_08,pyKVFinder-depth_12,pyKVFinder-depth_16,pyKVFinder-depth_20,pyKVFinder-depth_24,pyKVFinder-hydropathy_01,pyKVFinder-hydropathy_02,pyKVFinder-hydropathy_04,pyKVFinder-hydropathy_08,pyKVFinder-hydropathy_12,pyKVFinder-hydropathy_16,pyKVFinder-hydropathy_20,pyKVFinder-hydropathy_24
22,1EE0_A,2871,5.7371,3.6944,2.2988,1.9511,1.7901,1.7005,1.6303,1.5823,4.6634,2.9267,1.9164,1.6344,1.4201,1.3003,1.2033,1.1498,4.6634,2.9267,1.9164,1.6344,1.4201,1.3003,1.2033,1.1498,4.6634,2.9267,1.9164,1.6344,1.4201,1.3003,1.2033,1.1498
23,1EJF_A,920,2.4296,1.3975,0.8065,0.5939,0.5393,0.5018,0.4745,0.4605,2.2288,1.3594,0.9195,0.7688,0.6836,0.6353,0.6111,0.5887,2.2288,1.3594,0.9195,0.7688,0.6836,0.6353,0.6111,0.5887,2.2288,1.3594,0.9195,0.7688,0.6836,0.6353,0.6111,0.5887
24,1EM2_A,1713,4.0526,2.4863,1.4602,1.1614,1.0345,0.9846,0.9528,0.9124,3.457,2.2061,1.4425,1.1754,1.0269,0.9295,0.8594,0.8152,3.457,2.2061,1.4425,1.1754,1.0269,0.9295,0.8594,0.8152,3.457,2.2061,1.4425,1.1754,1.0269,0.9295,0.8594,0.8152
25,1EPA_A,1202,3.0746,1.8474,1.0591,0.8516,0.7507,0.7158,0.6785,0.6513,2.7457,1.7024,1.1301,0.9738,0.8401,0.8052,0.753,0.6923,2.7457,1.7024,1.1301,0.9738,0.8401,0.8052,0.753,0.6923,2.7457,1.7024,1.1301,0.9738,0.8401,0.8052,0.753,0.6923
26,1EUT_A,4534,10.1642,6.6864,4.5793,3.7763,3.4512,3.3437,3.2582,3.236,7.4499,4.5495,3.0824,2.5698,2.4854,2.3308,2.3334,2.1438,7.4499,4.5495,3.0824,2.5698,2.4854,2.3308,2.3334,2.1438,7.4499,4.5495,3.0824,2.5698,2.4854,2.3308,2.3334,2.1438
27,1F5A_A,3724,9.2499,5.9032,4.0268,3.2623,2.9794,2.8515,2.8381,2.8511,6.6708,4.0968,2.6356,2.1716,1.9215,1.7784,1.7349,1.7179,6.6708,4.0968,2.6356,2.1716,1.9215,1.7784,1.7349,1.7179,6.6708,4.0968,2.6356,2.1716,1.9215,1.7784,1.7349,1.7179
28,1FC5_B,3033,9.0175,5.7396,3.5739,2.8928,2.6111,2.5394,2.4128,2.449,6.8124,4.2808,2.8795,2.4568,2.1348,1.8963,1.7328,1.6254,6.8124,4.2808,2.8795,2.4568,2.1348,1.8963,1.7328,1.6254,6.8124,4.2808,2.8795,2.4568,2.1348,1.8963,1.7328,1.6254
29,1FKM_A,2710,6.3496,4.0366,2.5479,1.9924,1.8527,1.7556,1.7132,1.6889,4.9437,3.1245,2.0796,1.6074,1.4694,1.2924,1.181,1.1377,4.9437,3.1245,2.0796,1.6074,1.4694,1.2924,1.181,1.1377,4.9437,3.1245,2.0796,1.6074,1.4694,1.2924,1.181,1.1377
30,1FNN_A,3044,8.1247,5.1603,3.2105,2.5979,2.3632,2.222,2.1853,2.1928,6.263,3.9051,2.726,2.2681,1.9608,1.7729,1.6276,1.5582,6.263,3.9051,2.726,2.2681,1.9608,1.7729,1.6276,1.5582,6.263,3.9051,2.726,2.2681,1.9608,1.7729,1.6276,1.5582
31,1FS0_G,1714,4.7914,2.9422,1.7016,1.4358,1.2174,1.1813,1.1264,1.1018,3.9222,2.4278,1.6089,1.3947,1.2483,1.1516,1.1005,1.0646,3.9222,2.4278,1.6089,1.3947,1.2483,1.1516,1.1005,1.0646,3.9222,2.4278,1.6089,1.3947,1.2483,1.1516,1.1005,1.0646
32,1G2W_A,2229,5.2521,3.3377,2.0423,1.7755,1.5923,1.5274,1.4745,1.4352,4.1422,2.5405,1.6104,1.3853,1.2039,1.0995,1.0153,0.9746,4.1422,2.5405,1.6104,1.3853,1.2039,1.0995,1.0153,0.9746,4.1422,2.5405,1.6104,1.3853,1.2039,1.0995,1.0153,0.9746
33,1G4T_B,1701,3.7232,2.2782,1.3495,1.1176,0.9796,0.9295,0.8892,0.8747,3.1589,1.9799,1.303,1.1281,0.9981,0.9196,0.8655,0.8207,3.1589,1.9799,1.303,1.1281,0.9981,0.9196,0.8655,0.8207,3.1589,1.9799,1.303,1.1281,0.9981,0.9196,0.8655,0.8207
34,1G8Q_A,693,2.291,1.2868,0.7477,0.549,0.4757,0.4414,0.4191,0.4,2.1447,1.3268,0.909,0.7674,0.709,0.6707,0.6264,0.6047,2.1447,1.3268,0.909,0.7674,0.709,0.6707,0.6264,0.6047,2.1447,1.3268,0.909,0.7674,0.709,0.6707,0.6264,0.6047
35,1GAN_A,1034,2.4213,1.4296,0.8717,0.6843,0.6028,0.5609,0.5416,0.512,2.2567,1.3954,0.9754,0.808,0.7284,0.6877,0.6445,0.6075,2.2567,1.3954,0.9754,0.808,0.7284,0.6877,0.6445,0.6075,2.2567,1.3954,0.9754,0.808,0.7284,0.6877,0.6445,0.6075
36,1GGE_D,5745,16.4348,11.3154,8.4622,7.1277,6.6096,6.446,6.2887,6.2893,10.6111,6.6291,4.2557,3.5373,3.165,2.8795,2.6512,2.509,10.6111,6.6291,4.2557,3.5373,3.165,2.8795,2.6512,2.509,10.6111,6.6291,4.2557,3.5373,3.165,2.8795,2.6512,2.509
37,1GL4_A,2123,5.5496,3.5079,2.1557,1.7893,1.6521,1.5886,1.523,1.4742,4.4012,2.8338,1.8272,1.6573,1.4602,1.316,1.1832,1.1189,4.4012,2.8338,1.8272,1.6573,1.4602,1.316,1.1832,1.1189,4.4012,2.8338,1.8272,1.6573,1.4602,1.316,1.1832,1.1189
38,1GMV_B,1060,2.9452,1.7089,0.9333,0.7027,0.6245,0.5807,0.5951,0.53,2.6184,1.5735,1.0308,0.856,0.7644,0.7133,0.6625,0.6444,2.6184,1.5735,1.0308,0.856,0.7644,0.7133,0.6625,0.6444,2.6184,1.5735,1.0308,0.856,0.7644,0.7133,0.6625,0.6444
39,1GO3_F,835,3.4739,2.0438,1.1607,0.8977,0.7715,0.7068,0.6596,0.6199,2.9605,1.8831,1.3178,1.0884,0.946,0.8661,0.7934,0.7427,2.9605,1.8831,1.3178,1.0884,0.946,0.8661,0.7934,0.7427,2.9605,1.8831,1.3178,1.0884,0.946,0.8661,0.7934,0.7427
40,1GQK_B,5687,12.1535,8.1536,5.9463,5.0554,4.6775,4.566,4.4373,4.3496,8.3274,5.0247,3.2344,2.682,2.2724,2.1207,2.0066,1.9171,8.3274,5.0247,3.2344,2.682,2.2724,2.1207,2.0066,1.9171,8.3274,5.0247,3.2344,2.682,2.2724,2.1207,2.0066,1.9171
41,1GRW_D,977,2.6773,1.5801,0.9169,0.7054,0.6258,0.5965,0.5841,0.5569,2.4531,1.4913,0.992,0.837,0.7454,0.6995,0.678,0.6423,2.4531,1.4913,0.992,0.837,0.7454,0.6995,0.678,0.6423,2.4531,1.4913,0.992,0.837,0.7454,0.6995,0.678,0.6423
42,1GU2_A,960,2.8317,1.6649,0.9775,0.757,0.6549,0.6139,0.5846,0.5618,2.5505,1.5895,1.0798,0.9066,0.7878,0.7404,0.6989,0.6769,2.5505,1.5895,1.0798,0.9066,0.7878,0.7404,0.6989,0.6769,2.5505,1.5895,1.0798,0.9066,0.7878,0.7404,0.6989,0.6769
43,1GVN_A,737,2.2555,1.2837,0.754,0.5897,0.5128,0.4658,0.4818,0.4209,2.0601,1.2798,0.8873,0.7493,0.6728,0.6218,0.594,0.5774,2.0601,1.2798,0.8873,0.7493,0.6728,0.6218,0.594,0.5774,2.0601,1.2798,0.8873,0.7493,0.6728,0.6218,0.594,0.5774
44,1GWC_C,1693,4.0017,2.4846,1.5184,1.2251,1.0771,1.0193,0.9808,0.9413,3.3676,2.1294,1.4353,1.1484,1.0512,0.9317,0.8532,0.805,3.3676,2.1294,1.4353,1.1484,1.0512,0.9317,0.8532,0.805,3.3676,2.1294,1.4353,1.1484,1.0512,0.9317,0.8532,0.805
45,1GXK_D,1196,3.6585,2.212,1.2576,1.0128,0.8832,0.8278,0.7781,0.7352,3.0909,1.9207,1.2875,1.1104,1.0088,0.9206,0.8645,0.8103,3.0909,1.9207,1.2875,1.1104,1.0088,0.9206,0.8645,0.8103,3.0909,1.9207,1.2875,1.1104,1.0088,0.9206,0.8645,0.8103
46,1H21_A,1845,5.8168,3.5319,2.2185,1.6835,1.5715,1.4844,1.4079,1.3569,4.5676,2.9216,1.9862,1.5565,1.4163,1.2352,1.1353,1.0606,4.5676,2.9216,1.9862,1.5565,1.4163,1.2352,1.1353,1.0606,4.5676,2.9216,1.9862,1.5565,1.4163,1.2352,1.1353,1.0606
47,1H30_A,3048,8.9551,5.8173,3.9104,3.3147,3.0361,2.9149,2.8459,2.8471,6.4581,3.9911,2.6389,2.2869,2.0359,1.8355,1.7278,1.6171,6.4581,3.9911,2.6389,2.2869,2.0359,1.8355,1.7278,1.6171,6.4581,3.9911,2.6389,2.2869,2.0359,1.8355,1.7278,1.6171
48,1H4R_B,2455,6.6328,4.1972,2.621,2.0755,1.8801,1.8115,1.7669,1.7012,5.1511,3.2592,2.0812,1.7294,1.579,1.4157,1.3259,1.2417,5.1511,3.2592,2.0812,1.7294,1.579,1.4157,1.3259,1.2417,5.1511,3.2592,2.0812,1.7294,1.579,1.4157,1.3259,1.2417
49,1H4X_A,879,2.2325,1.2838,0.7636,0.5766,0.5367,0.5015,0.4726,0.4509,2.1018,1.2856,0.8933,0.7456,0.6678,0.6373,0.5933,0.5771,2.1018,1.2856,0.8933,0.7456,0.6678,0.6373,0.5933,0.5771,2.1018,1.2856,0.8933,0.7456,0.6678,0.6373,0.5933,0.5771
50,1H5K_A,2369,4.8606,3.0634,1.8817,1.6036,1.4188,1.3424,1.2935,1.2438,3.9289,2.4807,1.6263,1.3896,1.2435,1.122,1.0507,0.9395,3.9289,2.4807,1.6263,1.3896,1.2435,1.122,1.0507,0.9395,3.9289,2.4807,1.6263,1.3896,1.2435,1.122,1.0507,0.9395
51,1H6P_B,1454,4.2717,2.6487,1.5247,1.297,1.1491,1.0794,1.0294,0.9747,3.4494,2.1907,1.4671,1.2777,1.1301,0.9992,0.912,0.8745,3.4494,2.1907,1.4671,1.2777,1.1301,0.9992,0.912,0.8745,3.4494,2.1907,1.4671,1.2777,1.1301,0.9992,0.912,0.8745
52,1HF8_A,2114,5.1295,3.2716,2.001,1.7632,1.565,1.4799,1.4169,1.3642,4.1549,2.5821,1.7194,1.4852,1.2978,1.1685,1.0559,0.9811,4.1549,2.5821,1.7194,1.4852,1.2978,1.1685,1.0559,0.9811,4.1549,2.5821,1.7194,1.4852,1.2978,1.1685,1.0559,0.9811
53,1HW1_A,1798,5.0313,3.0783,1.7566,1.5039,1.3177,1.2456,1.1932,1.1529,4.1119,2.5649,1.633,1.4447,1.3315,1.1798,1.1361,1.0723,4.1119,2.5649,1.633,1.4447,1.3315,1.1798,1.1361,1.0723,4.1119,2.5649,1.633,1.4447,1.3315,1.1798,1.1361,1.0723
54,1HZX_A,2681,6.7182,4.3289,2.7554,2.2869,2.0722,2.0489,1.9572,1.8902,5.1488,3.2198,2.1231,1.7938,1.658,1.4531,1.4574,1.3674,5.1488,3.2198,2.1231,1.7938,1.658,1.4531,1.4574,1.3674,5.1488,3.2198,2.1231,1.7938,1.658,1.4531,1.4574,1.3674
55,1I24_A,3031,6.1006,4.0486,2.5516,2.1219,2.0932,2.017,1.9448,1.8751,4.7332,2.9641,1.9496,1.6494,1.4599,1.3335,1.234,1.1783,4.7332,2.9641,1.9496,1.6494,1.4599,1.3335,1.234,1.1783,4.7332,2.9641,1.9496,1.6494,1.4599,1.3335,1.234,1.1783
56,1I2K_A,2078,5.0101,3.1394,1.8588,1.5848,1.4224,1.3517,1.2843,1.2551,4.0664,2.538,1.6375,1.3838,1.247,1.1199,1.0571,0.9931,4.0664,2.538,1.6375,1.3838,1.247,1.1199,1.0571,0.9931,4.0664,2.538,1.6375,1.3838,1.247,1.1199,1.0571,0.9931
57,1I8L_D,834,2.4834,1.4351,0.8274,0.6317,0.542,0.5019,0.4769,0.4552,2.2417,1.3681,0.9148,0.7793,0.7048,0.6608,0.6349,0.6131,2.2417,1.3681,0.9148,0.7793,0.7048,0.6608,0.6349,0.6131,2.2417,1.3681,0.9148,0.7793,0.7048,0.6608,0.6349,0.6131
58,1II0_B,4223,8.7515,5.8797,4.4885,3.6208,3.3916,3.3173,3.3243,3.206,5.9533,3.6491,2.3524,1.8612,1.6824,1.513,1.4111,1.3386,5.9533,3.6491,2.3524,1.8612,1.6824,1.513,1.4111,1.3386,5.9533,3.6491,2.3524,1.8612,1.6824,1.513,1.4111,1.3386
59,1IK4_E,1161,3.1196,1.9047,1.1578,0.9136,0.8001,0.7606,0.7249,0.6904,2.7603,1.7376,1.2056,1.0119,0.8984,0.8712,0.7552,0.7206,2.7603,1.7376,1.2056,1.0119,0.8984,0.8712,0.7552,0.7206,2.7603,1.7376,1.2056,1.0119,0.8984,0.8712,0.7552,0.7206
60,1IO8_A,3007,5.983,3.8139,2.5729,2.0519,1.8962,1.8072,1.7371,1.688,4.7422,2.9626,1.9176,1.5769,1.4409,1.2404,1.1487,1.079,4.7422,2.9626,1.9176,1.5769,1.4409,1.2404,1.1487,1.079,4.7422,2.9626,1.9176,1.5769,1.4409,1.2404,1.1487,1.079
61,1IOO_A,1625,3.6249,2.2246,1.4006,1.0934,0.9793,0.9379,0.8981,0.8632,3.0951,1.9263,1.2899,1.1011,0.9723,0.8942,0.8426,0.7493,3.0951,1.9263,1.2899,1.1011,0.9723,0.8942,0.8426,0.7493,3.0951,1.9263,1.2899,1.1011,0.9723,0.8942,0.8426,0.7493
62,1IQ8_A,4651,11.0343,7.2288,4.8546,4.1568,3.7796,3.5671,3.5428,3.5925,7.9788,4.8921,3.2759,2.9577,2.6167,2.3561,2.2102,2.1282,7.9788,4.8921,3.2759,2.9577,2.6167,2.3561,2.2102,2.1282,7.9788,4.8921,3.2759,2.9577,2.6167,2.3561,2.2102,2.1282
63,1IQV_A,1317,3.8487,2.323,1.3181,1.016,0.8789,0.8403,0.8033,0.7726,3.289,2.0789,1.4029,1.223,1.033,0.9522,0.881,0.84,3.289,2.0789,1.4029,1.223,1.033,0.9522,0.881,0.84,3.289,2.0789,1.4029,1.223,1.033,0.9522,0.881,0.84
64,1IUW_A,3124,6.6527,4.313,2.9877,2.3901,2.2615,2.1908,2.1356,2.0811,4.9646,3.0577,1.9155,1.5311,1.4097,1.2639,1.1789,1.1297,4.9646,3.0577,1.9155,1.5311,1.4097,1.2639,1.1789,1.1297,4.9646,3.0577,1.9155,1.5311,1.4097,1.2639,1.1789,1.1297
65,1IXC_A,2211,6.6098,4.1497,2.6044,2.0141,1.8425,1.811,1.7139,1.6371,5.2095,3.2646,2.0928,1.6956,1.5265,1.4101,1.3448,1.2797,5.2095,3.2646,2.0928,1.6956,1.5265,1.4101,1.3448,1.2797,5.2095,3.2646,2.0928,1.6956,1.5265,1.4101,1.3448,1.2797
66,1J0W_A,804,2.1135,1.1833,0.708,0.4892,0.4449,0.4198,0.4005,0.377,1.9652,1.2278,0.8408,0.697,0.6216,0.5865,0.5545,0.5402,1.9652,1.2278,0.8408,0.697,0.6216,0.5865,0.5545,0.5402,1.9652,1.2278,0.8408,0.697,0.6216,0.5865,0.5545,0.5402
67,1J22_A,1029,2.8426,1.6793,0.9996,0.7695,0.6667,0.6266,0.597,0.5762,2.5042,1.5863,1.0888,0.8661,0.7905,0.726,0.6673,0.6361,2.5042,1.5863,1.0888,0.8661,0.7905,0.726,0.6673,0.6361,2.5042,1.5863,1.0888,0.8661,0.7905,0.726,0.6673,0.6361
68,1JDE_A,6716,15.5023,10.7394,7.6775,6.6124,6.2465,5.9674,5.8291,5.8997,10.2913,6.1607,4.0056,3.4504,2.9055,2.6582,2.5978,2.5048,10.2913,6.1607,4.0056,3.4504,2.9055,2.6582,2.5978,2.5048,10.2913,6.1607,4.0056,3.4504,2.9055,2.6582,2.5978,2.5048
69,1JEQ_A,4419,18.1839,11.6002,7.155,5.8967,5.258,4.9295,4.6795,4.5677,13.0959,7.8234,5.0864,4.5881,3.9966,3.4822,3.2378,3.1246,13.0959,7.8234,5.0864,4.5881,3.9966,3.4822,3.2378,3.1246,13.0959,7.8234,5.0864,4.5881,3.9966,3.4822,3.2378,3.1246
70,1JHS_A,1477,3.6782,2.2445,1.3854,1.0355,0.9694,0.9005,0.8635,0.8452,3.1959,1.9845,1.3125,1.0898,0.9828,0.8643,0.8137,0.786,3.1959,1.9845,1.3125,1.0898,0.9828,0.8643,0.8137,0.786,3.1959,1.9845,1.3125,1.0898,0.9828,0.8643,0.8137,0.786
71,1JID_A,917,2.7739,1.641,0.9652,0.7843,0.7029,0.6492,0.6079,0.5855,2.4687,1.5356,1.0608,0.9032,0.8063,0.7281,0.7028,0.6546,2.4687,1.5356,1.0608,0.9032,0.8063,0.7281,0.7028,0.6546,2.4687,1.5356,1.0608,0.9032,0.8063,0.7281,0.7028,0.6546
72,1JKV_D,2083,7.9701,4.8611,2.8701,2.1611,1.9013,1.7675,1.7078,1.668,6.1632,3.8768,2.701,2.1791,1.9599,1.7275,1.609,1.5451,6.1632,3.8768,2.701,2.1791,1.9599,1.7275,1.609,1.5451,6.1632,3.8768,2.701,2.1791,1.9599,1.7275,1.609,1.5451
73,1JOA_A,3489,7.3101,4.5655,2.9807,2.3051,2.0906,2.0366,2.0178,1.9489,5.7861,3.6032,2.3768,1.9051,1.7012,1.5118,1.4333,1.3464,5.7861,3.6032,2.3768,1.9051,1.7012,1.5118,1.4333,1.3464,5.7861,3.6032,2.3768,1.9051,1.7012,1.5118,1.4333,1.3464
74,1JQJ_D,2580,7.7983,4.8894,3.2328,2.4617,2.1803,2.1667,2.1378,2.045,5.9096,3.7528,2.482,1.9707,1.7098,1.5205,1.4244,1.3166,5.9096,3.7528,2.482,1.9707,1.7098,1.5205,1.4244,1.3166,5.9096,3.7528,2.482,1.9707,1.7098,1.5205,1.4244,1.3166
75,1K3D_A,4126,8.5427,5.7682,4.1649,3.4004,3.1237,3.0807,3.049,2.9811,6.075,3.7134,2.3593,1.9681,1.7286,1.582,1.4363,1.3824,6.075,3.7134,2.3593,1.9681,1.7286,1.582,1.4363,1.3824,6.075,3.7134,2.3593,1.9681,1.7286,1.582,1.4363,1.3824
76,1K66_A,1179,2.869,1.7178,1.0242,0.8004,0.7238,0.6731,0.6662,0.6434,2.5632,1.5984,1.091,0.9415,0.7956,0.7406,0.6926,0.6738,2.5632,1.5984,1.091,0.9415,0.7956,0.7406,0.6926,0.6738,2.5632,1.5984,1.091,0.9415,0.7956,0.7406,0.6926,0.6738
77,1K6M_A,3526,7.6785,4.8059,3.2284,2.4897,2.225,2.2037,2.1575,2.0831,5.9432,3.6681,2.4662,2.0322,1.8801,1.644,1.5305,1.4629,5.9432,3.6681,2.4662,2.0322,1.8801,1.644,1.5305,1.4629,5.9432,3.6681,2.4662,2.0322,1.8801,1.644,1.5305,1.4629
